"Jurisdiction_orig","Jurisdiction","address","LAT","LON","2006_identified","2007_identified","2008_identified","2009_identified","2010_identified","2011_identified","2012_identified","2013_identified","2006_removed","2007_removed","2008_removed","2009_removed","2010_removed","2011_removed","2012_removed","2013_removed”,”all_removed"
"AL Department of Public Safety","Ala. Dept. of Public Safety","502 Washington Ave, Montgomery, AL 36104",32.375987,-86.302175,,,,2.00,5.00,40.00,10.00,0.00,,,,2.00,3.00,14.00,4.00,0.00,23.00
"Alamance County Sheriff Office","Alamance County Sheriff","109 S Maple St, Graham, NC 27253",36.068548,-79.402697,,299.00,522.00,390.00,293.00,272.00,280.00,0.00,,238.00,432.00,239.00,137.00,159.00,97.00,52.00,1354.00
"AZ Department of Corrections","Ariz. Dept. of Corrections","1601 W Jefferson St, Phoenix, AZ 85007",33.446705,-112.094175,414.00,1912.00,2478.00,3699.00,3057.00,2304.00,2024.00,1359.00,302.00,1359.00,1510.00,1517.00,593.00,506.00,278.00,906.00,6971.00
"AZ Department of Public Safety*","Ariz. Dept. of Public Safety","2102 W Encanto BLVD, Phoenix, Arizona 85009-2847",33.473913,-112.105336,,91.00,77.00,126.00,217.00,387.00,50.00,0.00,,81.00,73.00,105.00,171.00,231.00,22.00,10.00,693.00
"Bay County Sheriff Office","Bay County Sheriff","3421 FL-77, Panama City, FL 32405",30.210492,-85.652071,,,7.00,136.00,85.00,55.00,37.00,0.00,,,3.00,106.00,47.00,35.00,11.00,0.00,202.00
"Beaufort County Sheriff Office","Beaufort County Sheriff","2001 Duke St, Beaufort, SC 29902",32.436252,-80.686023,,,11.00,74.00,59.00,26.00,24.00,2.00,,,11.00,57.00,11.00,16.00,10.00,1.00,106.00
"Benton County Sheriff Office*","Benton County Sheriff","1300 SW 14th St, Bentonville, AR 72712",36.357786,-94.226052,,3.00,416.00,279.00,79.00,306.00,176.00,20.00,,3.00,303.00,167.00,31.00,133.00,53.00,38.00,728.00
"Brevard County Sheriff Office","Brevard County Sheriff","700 S Park Ave, Titusville, FL 32780",28.607204,-80.820331,,,,95.00,,0.00,0.00,0.00,,,,66.00,,0.00,0.00,0.00,66.00
"Butler County Sheriff Office*","Butler County Sheriff","705 Hanover St, Hamilton, OH 45011",39.388067,-84.555948,,,359.00,380.00,206.00,111.00,107.00,114.00,,,307.00,339.00,144.00,75.00,61.00,85.00,1011.00
"Cabarrus County Sheriff Office","Cabarrus County Sheriff","30 Corban Ave SE, Concord, NC 28025",35.408865,-80.577753,,,221.00,301.00,218.00,135.00,137.00,86.00,,,188.00,211.00,130.00,96.00,59.00,63.00,747.00
"Carrollton Police Department","Carrollton Police Dept. ","2025 E Jackson Rd, Carrollton, TX 75006",32.976516,-96.886594,,,,6.00,106.00,179.00,44.00,0.00,,,,6.00,78.00,142.00,29.00,26.00,281.00
"Charleston County Sheriff Office","Charleston County Sheriff","3691 Leeds Ave, North Charleston, SC 29405",32.850367,-80.011786,,,,,273.00,1239.00,694.00,419.00,,,,,139.00,947.00,298.00,246.00,1630.00
"City of Danbury Police Department","City of Canbury Police Dept. ","375 Main St, Danbury, CT 06810",41.400592,-73.457386,,,,,,14.00,4.00,0.00,,,,,,8.00,2.00,1.00,11.00
"City of Manassas Police Department","City of Manassas Police Dept. ","9518 Fairview Ave, Manassas, VA 20110",38.747884,-77.464975,,,1.00,,2.00,0.00,0.00,0.00,,,,,1.00,0.00,0.00,0.00,1.00
